,Views_7_days,Country,Price_EUR,Year_Built
852,222,Switzerland,45604.901960784315,2020
854,102,Portugal,43000.0,1976
855,621,Belgium,43000.0,2013
856,45,Spain,43000.0,1983
857,140,Italy,43000.0,1989
858,154,Croatia (Hrvatska),43000.0,2008
859,43,France,43000.0,2018
860,60,Croatia (Hrvatska),43000.0,2003
861,66,France,43000.0,2016
864,161,France,43000.0,2002
866,142,Spain,43000.0,1987
867,704,Croatia (Hrvatska),43000.0,1999
868,48,Spain,44000.0,2012
869,126,Spain,44000.0,2003
870,41,France,44000.0,2015
871,63,France,44000.0,2008
872,85,France,44000.0,2008
873,73,France,44000.0,2001
874,100,France,44000.0,2018
875,103,France,44000.0,2004
876,167,Italy,44000.0,2020
878,80,Portugal,44000.0,2018
879,88,France,44000.0,2015
880,62,Germany,43999.0,2020
882,50,Spain,43904.0,2019
883,56,France,44900.0,2017
884,51,France,44900.0,2019
885,112,Germany,44900.0,2017
886,123,Spain,44900.0,2007
887,60,Germany,44900.0,2020
888,111,Germany,44900.0,2005
889,32,France,44900.0,2019
891,45,France,44900.0,2015
892,48,France,44900.0,2015
894,1970,Switzerland,47549.01960784314,2014
898,96,Portugal,45000.0,2007
899,65,Italy,45000.0,2007
900,245,Italy,45000.0,1962
901,78,France,45000.0,2003
902,35,Spain,45000.0,1996
907,124,Germany,45000.0,1984
908,47,France,45000.0,2019
910,170,Switzerland,45000.0,2019
911,54,France,45000.0,2015
912,216,Poland,45000.0,2015
913,38,France,45000.0,2020
916,202,Switzerland,47941.17647058824,2020
917,575,Switzerland,47549.01960784314,2000
918,503,Switzerland,47549.01960784314,2006
919,123,Switzerland,47833.333333333336,2019
920,159,Denmark,2576923.076923077,1988
921,347,Denmark,2576923.076923077,2000
922,119,Italy,45000.0,1994
923,281,Croatia (Hrvatska),45000.0,1996
924,179,Croatia (Hrvatska),45000.0,2009
925,162,Croatia (Hrvatska),45000.0,1990
927,270,Italy,45000.0,1982
928,138,Italy,45000.0,2001
929,252,Switzerland,49009.80392156863,2017
930,201,Switzerland,48988.23529411764,2020
931,62,Germany,46200.0,2020
932,363,Switzerland,48921.56862745098,1989
933,209,Switzerland,48921.56862745098,2018
934,387,Switzerland,48921.56862745098,2015
936,234,Switzerland,48921.56862745098,2020
937,810,Switzerland,48921.56862745098,1985
940,207,Spain,46000.0,2005
941,32,France,46000.0,2017
942,110,Italy,46000.0,1989
943,38,France,46000.0,2016
944,82,Croatia (Hrvatska),46000.0,2019
945,97,Germany,47100.0,2020
946,156,Switzerland,49901.96078431373,2020
947,272,Denmark,2692307.692307692,1985
948,55,Italy,47000.0,2005
949,64,Spain,47000.0,2005
950,39,France,47000.0,2016
951,144,France,47000.0,2008
952,138,Croatia (Hrvatska),47000.0,2005
953,215,Italy,47000.0,2006
954,160,France,47000.0,2002
956,243,Croatia (Hrvatska),47000.0,1995
959,100,Denmark,2684615.3846153845,2015
960,109,Italy,48000.0,1997
961,37,Italy,48000.0,2006
962,205,Germany,48000.0,1994
963,108,Italy,48000.0,1989
965,200,Italy,48000.0,2007
967,81,Italy,48000.0,2004
968,54,France,48000.0,2014
969,142,Croatia (Hrvatska),48000.0,2000
970,46,Netherlands,48000.0,2012
971,219,Italy,48000.0,2006
972,183,Italy,48000.0,2001
973,245,Belgium,48000.0,2007
974,270,lago maggiore,48000.0,2007
975,366,"België, Zulte",48000.0,2006
976,94,Croatia (Hrvatska),49000.0,2002
979,58,France,49000.0,2018
